dataset,zero_index_left,zero_index_right,source,gbar_upper_hp,lehmer_margin_to_0_8_hp,gap,normalized_gap,mid_height_approx,naive_collision_t_minus_gap2_over_8,trunc_dgap_dt,linear_collision_t,ext_corrected_collision_t,radius,window_zero_count,pair_pos_in_window,pair_gap,mid_height,avg_spacing,pair_normalized_gap,window_min_gap,window_min_normalized_gap,G_window,gbar_window,E_raw_inverse_gap2,E_norm_inverse_gap2,dgap_dt0_finite_flow,naive_pair_collision_t,linearized_collision_t,finite_ode_threshold_t,finite_ode_final_gap,finite_ode_min_any_gap_final,finite_ode_status
around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,0.0057798887728786,0.7942201112271213,0.0053001200000153,0.037604769672614,1.44176897509547e+20,-3.51140900182033e-06,753.271195889028,-7.03613788624961e-06,-3.51584685911878e-06,80,162,80,0.00530012000001534,1.44176897509547e+20,0.14094275928713387,0.037604769672613954,0.00530012000001534,0.037604769672613954,203.2484709647906,0.0057095080844158635,49753.615771084456,988.3486812161107,753.6229765694329,-3.5114090018203263e-06,-7.032853515350628e-06,-3.5139132598407508e-06,5.300123658953896e-06,5.300123658953896e-06,ok
first_100k,73997,73998,hp_cert_top20,0.005971349978877,0.7940286500211229,0.0258392800024012,0.0374961568953493,57273.674851345,-8.34585488803114e-05,154.502509885978,-0.0001672418138803,-8.35667349855205e-05,5,12,5,0.02583928000240121,57273.674851345,0.6891180894756203,0.0374961568953493,0.02583928000240121,0.0374961568953493,7.545195205932096,0.0050376883432462,1586.448002386824,753.3783626601913,154.60816509730438,-8.345854888031139e-05,-0.00016712752516103512,-8.351105314885527e-05,2.5839279926008745e-05,2.5839279926008745e-05,ok
first_100k,73997,73998,hp_cert_top20,0.005971349978877,0.7940286500211229,0.0258392800024012,0.0374961568953493,57273.674851345,-8.34585488803114e-05,154.502509885978,-0.0001672418138803,-8.35667349855205e-05,10,22,10,0.02583928000240121,57273.674851345,0.6891180894756203,0.0374961568953493,0.02583928000240121,0.0374961568953493,8.17763314362497,0.0054599471635398324,1627.9892354346714,773.1056188257808,154.5918235497325,-8.345854888031139e-05,-0.00016714519182891105,-8.351546406527262e-05,2.583928001102614e-05,2.583928001102614e-05,ok
first_100k,73997,73998,hp_cert_top20,0.005971349978877,0.7940286500211229,0.0258392800024012,0.0374961568953493,57273.674851345,-8.34585488803114e-05,154.502509885978,-0.0001672418138803,-8.35667349855205e-05,20,42,20,0.02583928000240121,57273.674851345,0.6891180894756203,0.0374961568953493,0.02583928000240121,0.0374961568953493,8.542799930987778,0.005703757484920514,1695.2144338604505,805.0297725599862,154.58238793563072,-8.345854888031139e-05,-0.00016715539426885345,-8.35180110955668e-05,2.5839281481113403e-05,2.5839281481113403e-05,ok
first_100k,73997,73998,hp_cert_top20,0.005971349978877,0.7940286500211229,0.0258392800024012,0.0374961568953493,57273.674851345,-8.34585488803114e-05,154.502509885978,-0.0001672418138803,-8.35667349855205e-05,40,82,40,0.02583928000240121,57273.674851345,0.6891180894756203,0.0374961568953493,0.02583928000240121,0.0374961568953493,8.7381002662986,0.005834153345567549,1821.9236712380095,865.2019292558292,154.57734152032333,-8.345854888031139e-05,-0.0001671608513140585,-8.351937327787162e-05,2.5839279570603736e-05,2.5839279570603736e-05,ok
first_100k,73997,73998,hp_cert_top20,0.005971349978877,0.7940286500211229,0.0258392800024012,0.0374961568953493,57273.674851345,-8.34585488803114e-05,154.502509885978,-0.0001672418138803,-8.35667349855205e-05,80,162,80,0.02583928000240121,57273.674851345,0.6891180894756203,0.0374961568953493,0.02583928000240121,0.0374961568953493,8.839601722049995,0.005901922659217553,2125.0401730090416,1009.1470276492048,154.57471879643265,-8.345854888031139e-05,-0.00016716368759130837,-8.352008115241344e-05,2.5839280002566903e-05,2.5839280002566903e-05,ok
around_1e12,1000000004240,1000000004241,hp_cert_top20,0.0065026615366694,0.7934973384633305,0.0113810798000031,0.0443330641053597,267653396737.472,-1.61911221767549e-05,350.705456095554,-3.24519610464864e-05,-1.62143485769786e-05,5,12,5,0.011381079800003135,267653396737.4725,0.2567176447122048,0.04433306410535971,0.011381079800003135,0.04433306410535971,40.4036083108818,0.0052334380683459044,7930.698371569373,522.6643418595594,351.00077857053475,-1.6191122176754927e-05,-3.2424656852195756e-05,-1.6201704785453817e-05,1.1381079799585381e-05,1.1381079799585381e-05,ok
around_1e12,1000000004240,1000000004241,hp_cert_top20,0.0065026615366694,0.7934973384633305,0.0113810798000031,0.0443330641053597,267653396737.472,-1.61911221767549e-05,350.705456095554,-3.24519610464864e-05,-1.62143485769786e-05,10,22,10,0.011381079800003135,267653396737.4725,0.2567176447122048,0.04433306410535971,0.011381079800003135,0.04433306410535971,44.64980768544698,0.005783443931229465,8164.9930091146925,538.1052837282913,350.9524529819523,-1.6191122176754927e-05,-3.242912167531824e-05,-1.6202819465881316e-05,1.1381079774392575e-05,1.1381079774392575e-05,ok
around_1e12,1000000004240,1000000004241,hp_cert_top20,0.0065026615366694,0.7934973384633305,0.0113810798000031,0.0443330641053597,267653396737.472,-1.61911221767549e-05,350.705456095554,-3.24519610464864e-05,-1.62143485769786e-05,20,42,20,0.011381079800003135,267653396737.4725,0.2567176447122048,0.04433306410535971,0.011381079800003135,0.04433306410535971,47.297594378261124,0.006126409033960183,8675.714641122757,571.763856171781,350.92231846006626,-1.6191122176754927e-05,-3.2431906439995384e-05,-1.6203514601018574e-05,1.1381079331428245e-05,1.1381079331428245e-05,ok
around_1e12,1000000004240,1000000004241,hp_cert_top20,0.0065026615366694,0.7934973384633305,0.0113810798000031,0.0443330641053597,267653396737.472,-1.61911221767549e-05,350.705456095554,-3.24519610464864e-05,-1.62143485769786e-05,40,82,40,0.011381079800003135,267653396737.4725,0.2567176447122048,0.04433306410535971,0.011381079800003135,0.04433306410535971,48.7198848720748,0.006310636867209577,10491.610844390985,691.4385871348055,350.9061312800335,-1.6191122176754927e-05,-3.243340251276686e-05,-1.620388801158372e-05,1.1381079031059507e-05,1.1381079031059507e-05,ok
