dataset,zero_index_pair,q_geometric,side,A,B,distance_near,distance_far,count_upper_raw,count_upper,known_endpoint_excluded,fmax,G_bound
around_1e12,1000000008625/1000000008626,1.25,left,267588285276.496908,267601307793.824419,52090069.3100456452,65112586.6375570565,50726567.0,50726567.0,False,7.37089330956244375e-16,3.73900113317371044e-8
around_1e12,1000000008625/1000000008626,1.25,left,267572007129.837519,267588285276.496908,65112586.6375570565,81390733.2969463206,63408063.0,63408063.0,False,4.71737171822061384e-16,2.9911940310335093e-8
around_1e12,1000000008625/1000000008626,1.25,left,267551659446.513282,267572007129.837519,81390733.2969463206,101738416.621182901,79259853.0,79259853.0,False,3.01911789971272557e-16,2.39294840920899371e-8
around_1e12,1000000008625/1000000008626,1.25,left,267526224842.357986,267551659446.513282,101738416.621182901,127173020.776478626,99074466.0,99074466.0,False,1.93223545584252912e-16,1.91435195973865152e-8
around_1e12,1000000008625/1000000008626,1.25,left,267494431587.163867,267526224842.357986,127173020.776478626,158966275.970598282,123842538.0,123842538.0,False,1.23663069175272763e-16,1.53147483435353458e-8
around_1e12,1000000008625/1000000008626,1.25,left,267454690018.171217,267494431587.163867,158966275.970598282,198707844.963247853,154802322.0,154802322.0,False,7.91443642728662286e-17,1.22517313626535338e-8
around_1e12,1000000008625/1000000008626,1.25,left,267405013056.930405,267454690018.171217,198707844.963247853,248384806.204059816,193501578.0,193501578.0,False,5.06523931349885164e-17,9.80131800109664494e-9
around_1e12,1000000008625/1000000008626,1.25,left,267342916855.37939,267405013056.930405,248384806.204059816,310481007.75507477,241874903.0,241874903.0,False,3.24175316065739651e-17,7.84098731283951198e-9
around_1e12,1000000008625/1000000008626,1.25,left,267265296603.440622,267342916855.37939,310481007.75507477,388101259.693843463,302340396.0,302340396.0,False,2.07472202283001708e-17,6.27272277972348404e-9
around_1e12,1000000008625/1000000008626,1.25,left,267168271288.517161,267265296603.440622,388101259.693843463,485126574.617304329,377920446.0,377920446.0,False,1.32782209461596398e-17,5.01811118205919308e-9
around_1e12,1000000008625/1000000008626,1.25,left,267046989644.862835,267168271288.517161,485126574.617304329,606408218.271630411,472392667.0,472392667.0,False,8.49806140556650514e-18,4.01442189170533001e-9
around_1e12,1000000008625/1000000008626,1.25,left,266895387590.294927,267046989644.862835,606408218.271630411,758010272.839538013,590478502.0,590478502.0,False,5.43875929957502313e-18,3.2114704439516289e-9
around_1e12,1000000008625/1000000008626,1.25,left,266705885022.085043,266895387590.294927,758010272.839538013,947512841.049422517,738078850.0,738078850.0,False,3.48080595173439425e-18,2.56910925392927721e-9
around_1e12,1000000008625/1000000008626,1.25,left,266469006811.822687,266705885022.085043,947512841.049422517,1184391051.31177815,922568421.0,922568421.0,False,2.22771580911327859e-18,2.05522025645037484e-9
around_1e12,1000000008625/1000000008626,1.25,left,266172909048.994742,266469006811.822687,1184391051.31177815,1480488814.13972268,1153163390.0,1153163390.0,False,1.42573811783417063e-18,1.64410900121387166e-9
around_1e12,1000000008625/1000000008626,1.25,left,265802786845.459812,266172909048.994742,1480488814.13972268,1850611017.67465335,1441380506.0,1441380506.0,False,9.12472395414725438e-19,1.31521992301390903e-9
around_1e12,1000000008625/1000000008626,1.25,left,265340134091.041148,265802786845.459812,1850611017.67465335,2313263772.09331669,1801610267.0,1801610267.0,False,5.83982333065862672e-19,1.05210856699807178e-9
around_1e12,1000000008625/1000000008626,1.25,left,264761818148.017819,265340134091.041148,2313263772.09331669,2891579715.11664586,2251832257.0,2251832257.0,False,3.73748693162376567e-19,8.41619363274634892e-10
around_1e12,1000000008625/1000000008626,1.25,left,264038923219.238658,264761818148.017819,2891579715.11664586,3614474643.89580733,2814507544.0,2814507544.0,False,2.39199163624035925e-19,6.7322785053833949e-10
around_1e12,1000000008625/1000000008626,1.25,left,263135304558.264706,264038923219.238658,3614474643.89580733,4518093304.86975916,3517691364.0,3517691364.0,False,1.53087464719441832e-19,5.38514452580235214e-10
around_1e12,1000000008625/1000000008626,1.25,left,262005781232.047266,263135304558.264706,4518093304.86975916,5647616631.08719895,4396419499.0,4396419499.0,False,9.79759774204728984e-20,4.30743497564950772e-10
around_1e12,1000000008625/1000000008626,1.25,left,260593877074.275466,262005781232.047266,5647616631.08719895,7059520788.85899869,5494434135.0,5494434135.0,False,6.27046255491180795e-20,3.44526435039467495e-10
around_1e12,1000000008625/1000000008626,1.25,left,258828996877.060717,260593877074.275466,7059520788.85899869,8824400986.07374836,6866329782.0,6866329782.0,False,4.01309603514434682e-20,2.75552408241377473e-10
around_1e12,1000000008625/1000000008626,1.25,left,256622896630.54228,258828996877.060717,8824400986.07374836,11030501232.5921855,8580217269.0,8580217269.0,False,2.56838146249278631e-20,2.20372709778600809e-10
around_1e12,1000000008625/1000000008626,1.25,left,253865271322.394233,256622896630.54228,11030501232.5921855,13788126540.7402318,10721023864.0,10721023864.0,False,1.64376413599559026e-20,1.76228345287960646e-10
around_1e12,1000000008625/1000000008626,1.25,left,250418239687.209175,253865271322.394233,13788126540.7402318,17235158175.9252898,13394569338.0,13394569338.0,False,1.05200904703728377e-20,1.40912081247442009e-10
around_1e12,1000000008625/1000000008626,1.25,left,246109450143.227853,250418239687.209175,17235158175.9252898,21543947719.9066122,16732579468.0,16732579468.0,False,6.73285790103915881e-21,1.12658079875889405e-10
around_1e12,1000000008625/1000000008626,1.25,left,240723463213.2512,246109450143.227853,21543947719.9066122,26929934649.8832653,20898814964.0,20898814964.0,False,4.3090290566653395e-21,9.00536009297484011e-11
around_1e12,1000000008625/1000000008626,1.25,left,233990979550.780383,240723463213.2512,26929934649.8832653,33662418312.3540816,26096494578.0,26096494578.0,False,2.75777859626595955e-21,7.19683541847790643e-11
around_1e12,1000000008625/1000000008626,1.25,left,225575374972.691863,233990979550.780383,33662418312.3540816,42078022890.442602,32577151848.0,32577151848.0,False,1.76497830161028695e-21,5.74979661399834609e-11
around_1e12,1000000008625/1000000008626,1.25,left,215055869250.081213,225575374972.691863,42078022890.442602,52597528613.0532525,40650931049.0,40650931049.0,False,1.12958611303062094e-21,4.59187271947156923e-11
around_1e12,1000000008625/1000000008626,1.25,left,201906487096.817899,215055869250.081213,52597528613.0532525,65746910766.3165656,50697967735.0,50697967735.0,False,7.22935112339616498e-22,3.66513409998924776e-11
around_1e12,1000000008625/1000000008626,1.25,left,185469759405.238758,201906487096.817899,65746910766.3165656,82183638457.895707,63179572694.0,63179572694.0,False,4.62678471897364335e-22,2.92318281491883661e-11
around_1e12,1000000008625/1000000008626,1.25,left,164923849790.764831,185469759405.238758,82183638457.895707,102729548072.369634,78645463964.0,78645463964.0,False,2.9611422201431818e-22,2.32880403766549559e-11
around_1e12,1000000008625/1000000008626,1.25,left,139241462772.672423,164923849790.764831,102729548072.369634,128411935090.462042,97725987274.0,97725987274.0,False,1.89513102089166198e-22,1.85203550030221187e-11
around_1e12,1000000008625/1000000008626,1.25,left,107138479000.056912,139241462772.672423,128411935090.462042,160514918863.077553,121072514448.0,121072514448.0,False,1.21288385337067679e-22,1.46846897860967179e-11
around_1e12,1000000008625/1000000008626,1.25,left,67009749284.2875242,107138479000.056912,160514918863.077553,200643648578.846941,149085389085.0,149085389085.0,False,7.76245666157239863e-23,1.15726887164597122e-11
around_1e12,1000000008625/1000000008626,1.25,left,16848837139.5757889,67009749284.2875242,200643648578.846941,250804560723.558676,180056236828.0,180056236828.0,False,4.96797226340636952e-23,8.94514390414832469e-12
around_1e12,1000000008625/1000000008626,1.25,left,2.71828182845904524,16848837139.5757889,250804560723.558676,313505700904.448345,55534549279.0,55534549279.0,False,3.17950224858009411e-23,1.76572224306462544e-12
around_1e12,1000000008625/1000000008626,1.25,right,267653397883.72961,267653397888.877007,20.5895878569,25.736984821125,35.0,34.0,True,0.00471647468543234543,0.160360139304699745
