dataset,base_height,zero_index_left,zero_index_right,offset_left,offset_right,height_left_approx,height_right_approx,gap,mid_height_approx,avg_spacing,normalized_gap,naive_collision_t_minus_gap2_over_8,trunc_radius,trunc_dgap_dt,linear_collision_t,external_dgap_dt,ext_corrected_collision_t,edge_ok_for_trunc
around_1e21,1.44176897509547e+20,1000000000000000001925,1000000000000000001926,809.82386585,809.83962359,1.44176897509547e+20,1.44176897509547e+20,0.0157577400000264,1.44176897509547e+20,0.140942759287134,0.111802408862481,-3.1038296238554e-05,80,249.270938576846,-6.32153113796238e-05,-4.57256943847261,-3.14161411624672e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002231,1000000000000000002232,852.98813132,853.00432621,1.44176897509547e+20,1.44176897509547e+20,0.0161948900000652,1.44176897509547e+20,0.140942759287134,0.114904022611565,-3.27843077642767e-05,80,243.05194329753,-6.66313948382647e-05,-3.93954599223287,-3.31371412476668e-05,True
around_1e21,1.44176897509547e+20,1000000000000000008427,1000000000000000008428,1726.2547402,1726.27111112,1.44176897509547e+20,1.44176897509547e+20,0.0163709199998721,1.44176897509547e+20,0.140942759287134,0.116152969352052,-3.35008777052764e-05,80,240.202611167177,-6.81546296283939e-05,-4.13307674964517,-3.38835273022017e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006620,1000000000000000006621,1471.43244882,1471.44893687,1.44176897509547e+20,1.44176897509547e+20,0.0164880499999072,1.44176897509547e+20,0.140942759287134,0.116984015945914,-3.39819740999298e-05,80,238.936931739319,-6.90058664430147e-05,-3.66301185756035,-3.4327957191384e-05,True
around_1e21,1.44176897509547e+20,1000000000000000007735,1000000000000000007736,1628.63005855,1628.64659151,1.44176897509547e+20,1.44176897509547e+20,0.0165329599999495,1.44176897509547e+20,0.140942759287134,0.117302655940402,-3.41673457949914e-05,80,238.311915725991,-6.93752972845847e-05,-3.62903132839054,-3.45129018078455e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002263,1000000000000000002264,857.45016109,857.4668736,1.44176897509547e+20,1.44176897509547e+20,0.0167125099999339,1.44176897509547e+20,0.140942759287134,0.118576577359938,-3.49134988122363e-05,80,231.152516656758,-7.23007918825757e-05,-8.18915015545727,-3.57308952399306e-05,True
around_1e21,1.44176897509547e+20,1000000000000000003181,1000000000000000003182,986.77486122,986.79187944,1.44176897509547e+20,1.44176897509547e+20,0.0170182199999545,1.44176897509547e+20,0.140942759287134,0.120745613935969,-3.62024764958562e-05,80,231.134112377343,-7.36292009211128e-05,-3.9080953277344,-3.66088457075225e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002931,1000000000000000002932,951.50242154,951.52024982,1.44176897509547e+20,1.44176897509547e+20,0.0178282800000034,1.44176897509547e+20,0.140942759287134,0.126493053564269,-3.9730945969815e-05,80,218.671116938041,-8.15301090040843e-05,-5.69152488715139,-4.0415911836735e-05,True
around_1e21,1.44176897509547e+20,1000000000000000008290,1000000000000000008291,1706.8218701,1706.83983932,1.44176897509547e+20,1.44176897509547e+20,0.0179692199999408,1.44176897509547e+20,0.140942759287134,0.127493033986466,-4.03616084257842e-05,80,218.470742884785,-8.22500063975033e-05,-4.13213025123179,-4.08681498502812e-05,True
around_1e21,1.44176897509547e+20,1000000000000000007830,1000000000000000007831,1642.06960765,1642.08830983,1.44176897509547e+20,1.44176897509547e+20,0.0187021799999911,1.44176897509547e+20,0.140942759287134,0.132693443030233,-4.37214420940085e-05,80,210.309385921174,-8.89269868678182e-05,-3.5694239289023,-4.42140580706458e-05,True
